
--- PAGE 1 ---
Top:   46.87 | x0:   44.10 | x1:  132.10 | Text: Account
Top:   46.87 | x0:  138.22 | x1:  244.56 | Text: Statement
Top:  114.53 | x0:  107.60 | x1:  125.60 | Text: THE
Top:  114.53 | x0:  128.10 | x1:  138.11 | Text: 16
Top:  114.53 | x0:  140.61 | x1:  164.12 | Text: PLUS
Top:  114.53 | x0:  166.62 | x1:  204.63 | Text: SCHOOL
Top:  114.53 | x0:  207.13 | x1:  242.64 | Text: LIMITED
Top:  114.53 | x0:  495.18 | x1:  542.70 | Text: 01-Jul-2025
Top:  114.84 | x0:   44.10 | x1:   71.60 | Text: Name:
Top:  114.84 | x0:  409.10 | x1:  428.60 | Text: Date
Top:  150.93 | x0:  107.60 | x1:  112.60 | Text: 4
Top:  150.93 | x0:  115.11 | x1:  154.11 | Text: OBOKUN
Top:  150.93 | x0:  156.61 | x1:  192.12 | Text: STREET
Top:  150.93 | x0:  194.62 | x1:  212.62 | Text: OFF
Top:  150.93 | x0:  215.12 | x1:  247.13 | Text: COKER
Top:  151.24 | x0:   44.10 | x1:   83.11 | Text: Address:
Top:  164.46 | x0:  107.60 | x1:  133.60 | Text: ROAD
Top:  177.98 | x0:  107.60 | x1:  144.61 | Text: ILUPEJU
Top:  196.18 | x0:  113.05 | x1:  144.06 | Text: LAGOS
Top:  196.18 | x0:  146.57 | x1:  175.57 | Text: STATE
Top:  214.38 | x0:  107.60 | x1:  136.10 | Text: Nigeria
Top:  233.25 | x0:   44.10 | x1:   88.10 | Text: Account
Top:  233.25 | x0:   91.16 | x1:  141.28 | Text: Summary
Top:  252.98 | x0:  225.81 | x1:  275.85 | Text: 0010080857
Top:  252.98 | x0:  425.08 | x1:  463.59 | Text: A01-ENG
Top:  252.98 | x0:  466.09 | x1:  491.09 | Text: HEAD
Top:  252.98 | x0:  493.60 | x1:  526.60 | Text: OFFICE
Top:  253.29 | x0:   44.10 | x1:   80.10 | Text: Account
Top:  253.29 | x0:   82.60 | x1:   97.60 | Text: No:
Top:  253.29 | x0:  286.65 | x1:  320.65 | Text: Branch:
Top:  266.51 | x0:  461.59 | x1:  502.09 | Text: BRANCH,
